NO.,NO.,检测项,检测内容,涉及图层,涉及字段,规则,备注,,
1,1.1,文件完整性检查,图层完整性校验,,,shape目录下是否包含全部8个图层文件（每个文件含若干个配套文件）,,,
,1.2,,图层类型及命名规范性校验,IMB,,类型：点图层，命名规范：以IMB结尾,文件名以_IMB、_SITE等图层名称关键字结尾,场勘的位置表,以图层名关键字结尾的文件名
,1.3,,,SITE,,类型：点图层，命名规范：以SITE结尾,,SRO,
,1.4,,,BOITE,,类型：点图层，命名规范：以BOITE结尾,,光盒子,
,1.5,,,CABLE,,类型：线图层，命名规范：以CABLE结尾,,线缆,
,1.6,,,PTECH,,类型：点图层，命名规范：以PTECH结尾,,杆井点位,
,1.7,,,INFRASTRUCTURE,,类型：线图层，命名规范：以INFRASTRUCTURE结尾,,管道,
,1.8,,,ZNRO,,类型：多边形图层，命名规范：以ZNRO结尾,,OLT范围（新的）,
,1.9,,,ZPM,,类型：多边形图层，命名规范：以ZPM结尾,,ZASRO,
2,2,坐标系一致性检查,QGIS文件和待检查图层的坐标系必须一致,,,,,,
3,3,空图层检查,不能出现空数据的图层,上述所有8个图层,,每个图层必须至少有一条数据,,,
4,4.1,图层字段检查,后边每页为一个图层，其中标绿字段值不能为空，同一个图层下的CODE字段值不能重复,IMB,"CODE,REF_PLAQUE,REGION,PROVINCE,VILLE,COMMUNE,CODE_POSTAL,NUMERO_VOIE,TYPE_VOIE,CODE_VOIE,TYPE_BATIMENT,TYPE_CLIENT,NB_LOC_RES,NB_LOC_PRO,NB_LOC_TOT,RACCORDEMENT,STATUT,NB_ETAGE,COL_MONTANTE,SOUS_SOL,SOUS_SOL_COMMUN,BPE_CODE,X,Y",字段存在，且值不能为空,"被截断的字段名：.
CODE_POSTAL
NUMERO_VOIE
TYPE_BATIMENT
RACCORDEMENT
COL_MONTANTE
SOUS_SOL_COMMUN
图层中不存在的字段名：
CODE_VOIE",表格中超出10个字符的字段名，取前10个字符去图层中进行匹配校验,
,4.2,,,,CODE,同一个图层内，该字段不能重名,,,
,4.3,,,BOITE,"CODE,CODE_PTC,REF_PLAQUE,REF_NRO,REF_PM,TYPE,TYPE_STRUCTURE,MODE_POSE,CAPACITE,NB_LOGEMENT,NB_SPLICES,NB_FIBRE_UTIL,FABRIQUANT,REF_BPE
NB_CASSETTES_MAX,CABLE_AMONT,STATUT,PROPRIETAIRE,GESTIONNAIRE,ADRESSSE,VILLE,CODE_POSTAL,X,Y",字段存在，且值不能为空,同上,,
,4.4,,,,CODE,同一个图层内，该字段不能重名,,,
,4.5,,,CABLE,"CODE,CODE,REF_PLAQUE,REF_NRO,REF_PM,CODE_INFRA,ORIGINE,EXTREMITE,TYPE_CABLE,DIAMETRE,MODE_POSE,CAPACITE,MODULO,FABRIQUANT,REF_PRODUIT,TYPE_FIBRE,NB_FIBRE_UTIL,NB_FIBRE_DISP,STATUT,PROPRIETAIRE,GESTIONNAIRE,TYPE_PROP,LONGUEUR",字段存在，且值不能为空,同上,,
,4.6,,,,CODE,同一个图层内，该字段不能重名,,,
,4.7,,,PTECH,"CODE,CODE,REF_PLAQUE,TYPE,NATURE,HAUTEUR_APPUI,TYPE_APPUI,EFFORT_APPUI,NB_BOITIERS,STATUT,PROPRIETAIRE,GESTIONNAIRE,ADRESSSE,VILLE,CODE_POSTAL,X,Y",字段存在，且值不能为空,同上,,
,4.8,,,,CODE,同一个图层内，该字段不能重名,,,
,4.9,,,INFRASTRUCTURE,"CODE,CODE,REF_PLAQUE,ORIGINE,EXTREMITE,COMPOSITION,TYPE,TYPE_LOG,STATUT,PROPRIETAIRE,GESTIONNAIRE,LONGUEUR",字段存在，且值不能为空,同上,,
,4.10,,,,CODE,同一个图层内，该字段不能重名,,,
,4.11,,,ZPM,"CODE,REF_PLAQUE,REF_NRO,REF_PM,STATUT,NB_PRISES",字段存在，且值不能为空,同上,,
,4.12,,,,CODE,同一个图层内，该字段不能重名,,,
,4.13,,,ZNRO,"CODE,REF_PLAQUE,REF_NRO,STATUT,NB_PRISES",字段存在，且值不能为空,同上,,
,4.14,,,,CODE,同一个图层内，该字段不能重名,,,
,4.15,,,SITE,"CODE,REF_PLAQUE,REF_NRO,TYPE,FABRIQUANT,REF_PRODUIT,MODE_POSE,STATUT,PROPRIETAIRE,GESTIONNAIRE,ADRESSSE,COMMUNE,CODE_POSTAL,X,Y",字段存在，且值不能为空,同上,,
,4.16,,,,CODE,同一个图层内，该字段不能重名,,,
